scenario,model,fold,mAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@1,R@15,Spearman,RMSE,MAE,pearson,drugAUC,drugAUPR,P5,P10,R5,R10,seconds,auc_rank
cold,A3Net,2,0.3294340031945948,0.8193702231190318,0.2498280865770752,0.6590667478064564,0.44,0.4764444444444444,0.0111528055005957,0.230624301876755,0.4271950588020339,1.61017411030984,1.2663168,,,,,,,,,
cold,A3Net,3,0.388804738145498,0.8112578924783114,0.3133423784144823,0.7675754669801917,0.6,0.5253333333333337,0.0176024743065426,0.2024948766708882,0.3502612792441846,1.6778328525831396,1.3026996,,,,,,,,,
cold,A3Net,4,0.319132655202661,0.795061010498563,0.2052180123536587,0.6989678044923183,0.4933333333333333,0.3911111111111109,0.0242982378816961,0.2431588601398085,0.3255636870736895,1.762589064167171,1.357718,,,,,,,,,
cold,A3Net,5,0.3032614539389511,0.8268003060812561,0.2393568903684294,0.6355190715495143,0.3466666666666667,0.4124444444444444,0.0131953665591616,0.2229098449483527,0.3102532298879902,1.7173221552694322,1.354477,,,,,,,,,
cold,A3Net,6,0.3374340327988684,0.7288452274986014,0.2180373455206367,0.7133476697711946,0.4933333333333333,0.4648888888888891,0.0177953039130626,0.2086388049670151,0.4732369832880841,1.8350291500842528,1.5186552,,,,,,,,,
cold,A3Net,7,0.3478293095156067,0.7909555658455366,0.2649720810380563,0.7528485389838232,0.5466666666666666,0.463111111111111,0.021972852469628,0.2230027458777098,0.4125877692903864,1.752239837490747,1.4275913,,,,,,,,,
cold,A3Net,8,0.3214407060439252,0.7878934098082593,0.2205532347756761,0.6764702833513435,0.4133333333333333,0.4319999999999998,0.0142098542003564,0.2217775235592419,0.442741816561244,1.5886710525934526,1.2610409,,,,,,,,,
cold,A3Net,9,0.3100794348843979,0.7960168951164017,0.2116110000804944,0.7056345247836273,0.5066666666666667,0.4053333333333333,0.0211426935638243,0.2188672835934002,0.4148318982505752,1.6852338904762572,1.2880164,,,,,,,,,
cold,A3Net,10,0.3692049387486917,0.786334191472175,0.2600714493614541,0.7557767083640541,0.5466666666666666,0.4853333333333336,0.0262467701869775,0.2759144659979475,0.3804758418128186,1.780248661674486,1.4370201,,,,,,,,,
cold,CAFNet,1,0.3286014333301414,0.7888837103780463,0.2230908598520741,0.665803806598788,0.3866666666666666,0.4319999999999999,0.0150589413419392,0.2531165643969144,0.4500250165737604,1.8315206438380465,1.4860753,,,,,,,,,
