drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
103,CAFNet,frequent,0.4234343628185089,0.39794789654359625,0.4666666666666667,0.1590909090909091
104,CAFNet,rare,,,,
104,CAFNet,middle,,,,
104,CAFNet,frequent,0.34620665753425583,0.36792125721353286,0.26666666666666666,0.36363636363636365
105,CAFNet,rare,0.006058128973660309,0.0,0.0,0.0
105,CAFNet,middle,0.06044979814805429,0.0,0.06666666666666667,0.16666666666666666
105,CAFNet,frequent,0.5605611813429362,0.7264127302306637,0.7333333333333333,0.2894736842105263
106,CAFNet,rare,0.012790762406627059,0.0,0.0,0.0
106,CAFNet,middle,0.07029569892473118,0.13565197343244778,0.06666666666666667,0.3333333333333333
106,CAFNet,frequent,0.22824957480276165,0.3052348839397012,0.2,0.2
107,CAFNet,rare,,,,
107,CAFNet,middle,0.007352941176470588,0.0,0.0,0.0
107,CAFNet,frequent,0.3940972222222222,0.44149241373678083,0.13333333333333333,0.5
108,CAFNet,rare,0.0044444444444444444,0.0,0.0,0.0
108,CAFNet,middle,0.2311283857181599,0.3391602052736161,0.06666666666666667,0.2
108,CAFNet,frequent,0.5088560171383855,0.44585678903770426,0.6666666666666666,0.2127659574468085
109,CAFNet,rare,,,,
109,CAFNet,middle,0.02641730962764173,0.0,0.0,0.0
109,CAFNet,frequent,0.10186130259656033,0.09785159463516042,0.06666666666666667,0.125
110,CAFNet,rare,0.5277777777777778,0.7585866543655181,0.2,1.0
110,CAFNet,middle,1.0,1.0,0.06666666666666667,1.0
110,CAFNet,frequent,0.667918515932061,0.8572048559638626,0.6,0.3333333333333333
111,CAFNet,rare,0.04896593673965936,0.0,0.06666666666666667,0.5
111,CAFNet,middle,0.0463783686990778,0.0,0.0,0.0
111,CAFNet,frequent,0.07531742205078754,0.123151194370365,0.06666666666666667,0.25
112,CAFNet,rare,0.53125,0.6131471927654584,0.06666666666666667,0.5
112,CAFNet,middle,0.4431089743589744,0.5585075862632192,0.2,0.75
112,CAFNet,frequent,0.3532565768835792,0.33405144466421566,0.3333333333333333,0.45454545454545453
113,CAFNet,rare,0.15933692163490215,0.24630238874073,0.06666666666666667,0.25
113,CAFNet,middle,0.13547097453752746,0.2200917662980802,0.06666666666666667,0.09090909090909091
113,CAFNet,frequent,0.665658905053188,0.92663607790064,0.8666666666666667,0.18571428571428572
114,CAFNet,rare,1.0,1.0,0.06666666666666667,1.0
114,CAFNet,middle,0.021338724168912845,0.0,0.0,0.0
114,CAFNet,frequent,0.5587699810794493,0.715550648768261,0.5333333333333333,0.21052631578947367
115,CAFNet,rare,0.03500983454324564,0.0,0.06666666666666667,0.3333333333333333
115,CAFNet,middle,0.1752410846360489,0.17630010660342915,0.2,0.23076923076923078
115,CAFNet,frequent,0.6643441732560675,0.92663607790064,0.8,0.2
116,CAFNet,rare,0.014733911453046419,0.0,0.0,0.0
116,CAFNet,middle,0.01268461930226636,0.0,0.0,0.0
116,CAFNet,frequent,0.42994247438319055,0.7007731679885375,0.5333333333333333,0.23529411764705882
117,CAFNet,rare,0.010407614477113974,0.0,0.0,0.0
117,CAFNet,middle,0.025794864457065816,0.0,0.0,0.0
117,CAFNet,frequent,0.41989376176034404,0.6429424283490957,0.4666666666666667,0.19444444444444445
118,CAFNet,rare,0.0022026431718061676,0.0,0.0,0.0
118,CAFNet,middle,0.03274376325350838,0.0,0.0,0.0
118,CAFNet,frequent,0.01689183803602742,0.0,0.0,0.0
119,CAFNet,rare,0.3,0.38685280723454163,0.06666666666666667,0.5
119,CAFNet,middle,0.4721311475409836,0.6508205185601091,0.13333333333333333,0.6666666666666666
119,CAFNet,frequent,0.563170313015235,0.7534494445524139,0.4666666666666667,0.3888888888888889
120,CAFNet,rare,0.008849557522123894,0.0,0.0,0.0
120,CAFNet,middle,0.45555555555555555,0.6049306994552042,0.13333333333333333,0.6666666666666666
120,CAFNet,frequent,0.7517346644230677,0.685119869332369,0.8666666666666667,0.3939393939393939
121,CAFNet,rare,0.004063618613732509,0.0,0.0,0.0
121,CAFNet,middle,0.08238826211860796,0.0,0.06666666666666667,0.06666666666666667
121,CAFNet,frequent,0.09014303472756569,0.1963279042557385,0.13333333333333333,0.3333333333333333
