drug_idx,fold,group,model,AP,nDCG@10,P@15,R@15
7,6,frequent,CAFNet-D,0.421004270010623,0.5965173333990071,0.4666666666666667,0.1794871794871795
7,6,frequent,CAFNet,0.46859267534183735,0.7721596254947204,0.4666666666666667,0.1794871794871795
7,6,frequent,A3Net,0.3607463782812341,0.2496640287027892,0.3333333333333333,0.1282051282051282
7,6,frequent,CAFNet-D w/o association residual,0.3444596252483295,0.4263100803427563,0.4,0.15384615384615385
7,6,frequent,CAFNet-D w/o bias/popularity prior,0.30514096991063994,0.4825387500873844,0.4,0.15384615384615385
7,6,frequent,Global popularity,0.40162046536155643,0.4006705181006301,0.4,0.15384615384615385
7,6,frequent,HSTrans100,0.36053075733736023,0.4323181322709948,0.3333333333333333,0.1282051282051282
8,8,rare,CAFNet-D,0.12712101393257888,0.14829723057014912,0.13333333333333333,0.2222222222222222
8,8,rare,CAFNet,0.07943201741659466,0.06794340091829076,0.13333333333333333,0.2222222222222222
8,8,rare,A3Net,0.10716913915776509,0.15787352928426804,0.13333333333333333,0.2222222222222222
8,8,rare,CAFNet-D w/o association residual,0.08546232767833267,0.08372491399919348,0.06666666666666667,0.1111111111111111
8,8,rare,CAFNet-D w/o bias/popularity prior,0.09709933040992373,0.19215663883127906,0.13333333333333333,0.2222222222222222
8,8,rare,Global popularity,0.03161894619344723,0.0,0.0,0.0
8,8,rare,HSTrans100,0.06152220377202693,0.06794340091829076,0.13333333333333333,0.2222222222222222
8,8,mid,CAFNet-D,0.14271622092952574,0.2200917662980802,0.06666666666666667,0.07142857142857142
8,8,mid,CAFNet,0.0669768317697936,0.06943122193677728,0.06666666666666667,0.07142857142857142
8,8,mid,A3Net,0.052593680448421325,0.0,0.0,0.0
8,8,mid,CAFNet-D w/o association residual,0.12331459866850368,0.2200917662980802,0.06666666666666667,0.07142857142857142
8,8,mid,CAFNet-D w/o bias/popularity prior,0.0512747048545852,0.0,0.06666666666666667,0.07142857142857142
8,8,mid,Global popularity,0.09821006666732077,0.18844415212771543,0.2,0.21428571428571427
8,8,mid,HSTrans100,0.09561814359009596,0.0,0.06666666666666667,0.07142857142857142
8,8,frequent,CAFNet-D,0.5507468290029517,0.5884674004369674,0.4666666666666667,0.11666666666666667
8,8,frequent,CAFNet,0.5371002057304014,0.5017100640839689,0.7333333333333333,0.18333333333333332
8,8,frequent,A3Net,0.5109741520298778,0.5368103404171508,0.4666666666666667,0.11666666666666667
8,8,frequent,CAFNet-D w/o association residual,0.5213605293759224,0.5708588662113935,0.4666666666666667,0.11666666666666667
8,8,frequent,CAFNet-D w/o bias/popularity prior,0.558861991494676,0.7015099647232446,0.8,0.2
8,8,frequent,Global popularity,0.5680467485454802,0.5884674004369674,0.4666666666666667,0.11666666666666667
8,8,frequent,HSTrans100,0.46419501997255563,0.7846170207230131,0.4666666666666667,0.11666666666666667
9,1,rare,CAFNet-D,0.0021929824561403508,0.0,0.0,0.0
9,1,rare,CAFNet,0.011904761904761904,0.0,0.0,0.0
9,1,rare,A3Net,0.006802721088435374,0.0,0.0,0.0
9,1,rare,CAFNet-D w/o association residual,0.0024096385542168677,0.0,0.0,0.0
9,1,rare,CAFNet-D w/o bias/popularity prior,0.0033783783783783786,0.0,0.0,0.0
9,1,rare,Global popularity,0.010869565217391304,0.0,0.0,0.0
9,1,rare,HSTrans100,0.016129032258064516,0.0,0.0,0.0
9,1,mid,CAFNet-D,0.0196078431372549,0.0,0.0,0.0
9,1,mid,CAFNet,0.00625,0.0,0.0,0.0
9,1,mid,A3Net,0.012195121951219513,0.0,0.0,0.0
9,1,mid,CAFNet-D w/o association residual,0.022727272727272728,0.0,0.0,0.0
9,1,mid,CAFNet-D w/o bias/popularity prior,0.1111111111111111,0.3010299956639812,0.06666666666666667,1.0
9,1,mid,Global popularity,0.02040816326530612,0.0,0.0,0.0
9,1,mid,HSTrans100,0.024390243902439025,0.0,0.0,0.0
9,1,frequent,CAFNet-D,0.6734001793413557,0.7948833326720566,0.6666666666666666,0.6666666666666666
9,1,frequent,CAFNet,0.650296919686718,0.8263333286520084,0.6666666666666666,0.6666666666666666
9,1,frequent,A3Net,0.38652394612738333,0.4170606134915055,0.3333333333333333,0.3333333333333333
