fold,rho,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP
1,1.0,0.9084669932178038,0.11251116862202815,712137,3708,644,0.23753352520854581,0.3070648003085584,0.33229813664596275,0.12412008281573497,0.38756428304584445,0.06229244069976118,0.10885354461205232,0.2690442336281748,0.09459241472296465
2,0.0,0.9120296350289386,0.09080114361419041,712137,3708,655,0.20992304612901613,0.267110941762154,0.20763358778625954,0.11908396946564885,0.41335503865900347,0.10420333508686022,0.1790281952491672,0.24215237732873515,0.12123227891475515
2,0.1,0.91921493262841,0.09734013771072852,712137,3708,655,0.22416331220008992,0.283640148979146,0.23969465648854962,0.12234096692111958,0.421751110073781,0.11146008526077589,0.18513924850118893,0.2592230225143426,0.1239303323584654
2,0.2,0.9232482243711679,0.10408564087337688,712137,3708,655,0.23424854638199732,0.29737647466195144,0.2595419847328244,0.12498727735368959,0.4260255326740612,0.12197043359815152,0.18708611901756192,0.2696245640701147,0.12514212713181017
2,0.3,0.9251269673940994,0.11121229864335772,712137,3708,655,0.24441886840327248,0.30955731426684935,0.2885496183206107,0.12722646310432573,0.4261975911595632,0.1216310986662062,0.18697671178253944,0.2805449517218534,0.127103802763284
2,0.4,0.9254693171209591,0.11871847820680438,712137,3708,655,0.2500937004591845,0.31808761329509877,0.31297709923664124,0.1282442748091603,0.42430969480192376,0.12300678291615427,0.18739208586657521,0.2873985184753254,0.12863962903680373
2,0.5,0.9246999793744209,0.12465284213322633,712137,3708,655,0.25584414093618096,0.3230785665427754,0.3236641221374046,0.13048346055979643,0.43035684061624513,0.12746319667234565,0.1863610585539352,0.29297501249590147,0.13250772231057464
2,0.6,0.9230380384049346,0.1273654641355216,712137,3708,655,0.25878962247911286,0.32492232935298554,0.3297709923664122,0.13129770992366413,0.4294436030073407,0.12798496132937945,0.18264001009964378,0.2943611940511999,0.13297652652060246
2,0.7,0.9205388853607912,0.1273357535590786,712137,3708,655,0.2572278473876956,0.32372800095345544,0.3282442748091603,0.13119592875318065,0.42756238315655476,0.12543203651917226,0.17725290254103504,0.29255275744733034,0.1301708640123335
2,0.8,0.9171801476687063,0.12436556559089691,712137,3708,655,0.2511542570353885,0.31754088480958326,0.3190839694656489,0.12966921119592875,0.4212601551892061,0.11944540945159117,0.1668995457599494,0.2862292950958385,0.12059874596731107
2,0.9,0.9129037221918216,0.11906694566370787,712137,3708,655,0.24536606835741198,0.312360422821492,0.31297709923664124,0.12773536895674298,0.41219286822115575,0.10541030292232463,0.15053228232144966,0.2804113788299321,0.10812030858891428
2,1.0,0.9076252131326461,0.11130688644046172,712137,3708,655,0.23870174862110896,0.305504070202755,0.3068702290076336,0.12580152671755723,0.40114137602993777,0.09233147910420342,0.1292643590041325,0.27395362923002886,0.09058205694419623
3,0.0,0.9128822586905044,0.08421373616824848,712137,3708,652,0.1911723370829615,0.24009962133779184,0.1901840490797546,0.11134969325153374,0.3986171032627788,0.14245106658653314,0.1744990221676835,0.216568394290113,0.11709784150966421
3,0.1,0.9204015018596774,0.09127728669574964,712137,3708,652,0.21443203622731188,0.26666314231645627,0.2392638036809816,0.11666666666666665,0.4102006201100759,0.1479715107676158,0.1786343837347576,0.24252202286233712,0.12180319280096259
3,0.2,0.9252724737273366,0.09913720614128409,712137,3708,652,0.23018354770023372,0.2848040808762756,0.25766871165644173,0.12157464212678937,0.41874961372221675,0.15162249660616078,0.1852034177452868,0.26001585994679244,0.12529845339717566
3,0.3,0.9279266256357261,0.10786088370902287,712137,3708,652,0.24417756332253018,0.3043723298837894,0.2960122699386503,0.12546012269938647,0.42425861479597204,0.15771129029385325,0.1933093816697927,0.2769851233757499,0.12781980047258532
