scenario,model,fold,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,QWK,Within1,ordinal_pairs
cold,RF,6,0.7553246941355635,0.1680807077908132,74550,4083,75,0.2061311836602425,0.3522793933443833,0.3333333333333333,0.2631111111111111,0.1190731296982926,0.400588520513232,1.802463498269558,1.5420511398918813,0.1674281061399378,0.5216752387950037,4083.0
cold,RF,7,0.7354602016329455,0.1504135970009477,74550,4023,75,0.1973939650882758,0.3353726491079968,0.3866666666666666,0.2471111111111111,0.1293402823678356,0.4367900999366156,1.758515030703602,1.5168053815282534,0.1833066950249554,0.5389013174248074,4023.0
cold,RF,8,0.7544851661624432,0.1318020806522535,74550,3088,75,0.166629699902993,0.2970305341108524,0.2,0.2364444444444444,0.1250339963627709,0.3480350485090279,1.8920986331805492,1.612952145516216,0.1618936382081864,0.496761658031088,3088.0
cold,RF,9,0.7672805846069055,0.1823973057249288,74550,4204,75,0.2198334132178587,0.3701125318815304,0.2,0.2915555555555555,0.1610548032761956,0.3695182077706752,1.7537494884088838,1.4915223882828692,0.1580793773536273,0.5318744053282588,4204.0
cold,XGBoost,0,0.7568371159913347,0.1236158019222485,74550,2889,75,0.1585741194782882,0.2626785543677458,0.0,0.1982222222222222,0.1228961381574387,0.3131021451815399,1.9777444727612907,1.8131416633946955,0.0688926070760145,0.3516787815853236,2889.0
cold,XGBoost,1,0.7561376711981491,0.148123808692059,74550,3457,75,0.1769673696198008,0.310973846271797,0.0,0.2355555555555555,0.1165856552560464,0.3307966099306541,1.8157109602748955,1.6179020119637535,0.0942033630081935,0.4347700318194967,3457.0
cold,XGBoost,2,0.758805388303788,0.1877174599453918,74550,4941,75,0.2031640256754313,0.3366726725299282,0.0933333333333333,0.2622222222222222,0.0967752610154765,0.3073715469546973,1.8576277074655392,1.655583525169622,0.0821788120338535,0.4308844363489172,4941.0
cold,XGBoost,3,0.7370028973298565,0.126248066326659,74550,3098,75,0.1706494893784286,0.307441572700994,0.0,0.2186666666666666,0.1497411101213094,0.3505328882699021,1.9250551291073772,1.7399826615067586,0.087600706129199,0.3954163976759199,3098.0
cold,XGBoost,4,0.7675047602324555,0.1441868458720978,74550,2835,75,0.1748632805146006,0.324755022224104,0.0266666666666666,0.2328888888888888,0.1438403121447806,0.2748896458955606,1.9887844270638613,1.797477644965762,0.0675760426465976,0.3527336860670194,2835.0
cold,XGBoost,5,0.685986590952864,0.1331410402845789,74550,4453,75,0.1776297452529687,0.3140208211248557,0.0133333333333333,0.2382222222222222,0.1045968361081436,0.407645704177472,1.8907241347227413,1.7229113537302023,0.1042849790444317,0.3844599146642712,4453.0
cold,XGBoost,6,0.7451317582433092,0.156469242197266,74550,4083,75,0.1870578982167808,0.322902644259621,0.0266666666666666,0.2551111111111111,0.1236912261351061,0.3901644838925396,1.7748922968560927,1.579436544574361,0.1143456165869265,0.4631398481508694,4083.0
cold,XGBoost,7,0.7257223863799783,0.1355083454919965,74550,4023,75,0.1700910166726737,0.2855611777548746,0.0133333333333333,0.2079999999999999,0.1087274809148998,0.4072317509243788,1.7169150510444715,1.5270620677384044,0.1199771936742382,0.4869500372856077,4023.0
cold,XGBoost,8,0.7409019615736935,0.1294918717982404,74550,3088,75,0.1539420867427181,0.2696158128885199,0.0533333333333333,0.1973333333333333,0.1070437153421989,0.329669409957941,1.896466850110357,1.6846557476707382,0.104203967741548,0.4135362694300518,3088.0
