fold,drug_index,model,macro_AP,nDCG@10,rare_AP,middle_AP,frequent_AP
9,148,Drug-stratum gate,0.5331293050520467,0.9216017310213245,0.036941553089258894,0.04253988113057334,0.6607552625167369
9,149,CAFNet,0.09956357636449832,0.1744142429082535,,,0.10618069251583165
9,149,CAFNet-D,0.3173785901920576,0.4125317798925535,,,0.31898500434174104
9,149,CAFNet-DG,0.3092102989566745,0.4125317798925535,,,0.31150372348916616
9,149,Group-only,0.41572037086215946,0.5390031312763821,,,0.4194268347673142
9,149,Global gate,0.30543620302073604,0.47726564878664623,,,0.30933624958655354
9,149,Drug gate,0.3469264768469668,0.49684601414843926,,,0.3507323556318382
9,149,Drug-stratum gate,0.21849054762744022,0.3430427114200249,,,0.22472909131595456
9,165,CAFNet,0.3381386739169444,0.40112489502598453,0.02857142857142857,0.019744543673715847,0.38307372172774556
9,165,CAFNet-D,0.5191596211738919,0.9363792118010483,0.008771929824561403,0.027244065759830946,0.5761802625784749
9,165,CAFNet-DG,0.5061606571889014,0.9363792118010483,0.011627906976744186,0.02820626433814624,0.5607173365169611
9,165,Group-only,0.4941307018617533,0.9363792118010483,0.008064516129032258,0.023158703209636998,0.5567900474435663
9,165,Global gate,0.44912595144642065,0.7136540102475308,0.015873015873015872,0.04577588358287311,0.49125174814600603
9,165,Drug gate,0.4892097352018429,0.933745776545611,0.004310344827586207,0.015603338946803047,0.5441620818335496
9,165,Drug-stratum gate,0.5121282128620835,1.0,0.007874015748031496,0.016113506498121884,0.5737447910762612
9,188,CAFNet,0.2316938797917059,0.2816249726597773,,,0.23181332556332554
9,188,CAFNet-D,0.5896358543417366,0.7316362001126298,,,0.5897638625342609
9,188,CAFNet-DG,0.5579274891774891,0.7114533439819829,,,0.5579274891774891
9,188,Group-only,0.6568607560695205,0.7526136409516658,,,0.6568607560695204
9,188,Global gate,0.6112920168067226,0.7456919575934261,,,0.611452273216979
9,188,Drug gate,0.6590775125257883,0.7526136409516658,,,0.6590775125257883
9,188,Drug-stratum gate,0.5626966171083817,0.7114533439819829,,,0.5630812324929971
9,196,CAFNet,0.06006201047583058,0.0,0.04411125597566276,0.07133089133089132,0.072097695281011
9,196,CAFNet-D,0.07240445377491066,0.06943122193677731,0.03873489694385217,0.08205741626794258,0.08369880551006928
9,196,CAFNet-DG,0.07165510282775182,0.0,0.05274725274725275,0.1628205128205128,0.08005972031419954
9,196,Group-only,0.056601241594274855,0.0,0.021241830065359478,0.027445382949068862,0.07093818100984131
9,196,Global gate,0.07255892050952674,0.0,0.0339080459770115,0.105489417989418,0.08344802303618075
9,196,Drug gate,0.05612959734819468,0.0,0.09166666666666666,0.09125495101104857,0.06269103788764957
9,196,Drug-stratum gate,0.06621922146328596,0.0733639220993601,0.01932021466905188,0.016616638633717172,0.0902578204187678
9,205,CAFNet,0.365336032367255,0.6168295842361275,1.0,0.004081632653061225,0.39203578691822616
9,205,CAFNet-D,0.33409020583704385,0.6235744328990731,0.5,0.037037037037037035,0.3582957851181145
9,205,CAFNet-DG,0.3701128018942421,0.6325414799409712,1.0,0.02702702702702703,0.39129168682635146
9,205,Group-only,0.3306840741784564,0.6871952210980248,0.25,0.024390243902439025,0.35333101609103956
9,205,Global gate,0.2993052984800415,0.5907272848394972,0.1,0.0072992700729927005,0.32276974700719824
9,205,Drug gate,0.3420808697858826,0.5388856921828065,0.022222222222222223,0.017857142857142856,0.36242015694220514
9,205,Drug-stratum gate,0.37009342724493033,0.6911279212606076,0.1111111111111111,0.5,0.3887367482718103
9,207,CAFNet,0.2817905079120301,0.34051969290975714,0.038461538461538464,0.00425531914893617,0.34107523423349384
9,207,CAFNet-D,0.4546553820991602,0.5481351590340573,0.047619047619047616,0.004219409282700422,0.5507834757834758
9,207,CAFNet-DG,0.4284234608398136,0.5363559634917964,0.05,0.004166666666666667,0.5189457228930913
9,207,Group-only,0.4707493660484791,0.611755947233009,0.012195121951219513,0.00558659217877095,0.572832939322301
9,207,Global gate,0.47002789761923147,0.5964984284535196,0.25,0.014925373134328358,0.5661513509074485
9,207,Drug gate,0.43378269040792616,0.44173955623824734,0.010526315789473684,0.00847457627118644,0.5261031996326114
9,207,Drug-stratum gate,0.4957073062731869,0.5677211578528084,0.07142857142857142,0.013157894736842105,0.5995716468405544
9,210,CAFNet,0.2632980468912726,0.41706061349150547,,0.01730769230769231,0.3118066370519658
9,210,CAFNet-D,0.28388834836328003,0.42492601381667106,,0.012316384180790962,0.33630365742769236
9,210,CAFNet-DG,0.3583549624935824,0.5352543167750637,,0.014331690636628786,0.4253357754416805
9,210,Group-only,0.2761117877019005,0.4440973278132557,,0.01478494623655914,0.32849976955691995
9,210,Global gate,0.29241183773048873,0.4690000933206748,,0.00692875964615095,0.3516876536441088
9,210,Drug gate,0.1416456198098521,0.25329540411053186,,0.010083826429980276,0.1727494780007485
9,210,Drug-stratum gate,0.26709140954677174,0.42492601381667106,,0.02383766745468873,0.3163449974218369
