model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
Gate sigmoid low=0 mid=0 high=0.8 temp=1,0.34849743452400883,0.17442171004301787,0.5313673949558353,0.2869556409648449,0.44826666666666665,0.2591493622025351,0.23763107316661966,0.17385198759619339
Gate sigmoid low=0 mid=0 high=0.8 temp=2,0.3637136273134585,0.17834143649931797,0.537991553210877,0.2891950244737163,0.4623111111111111,0.26768606519776694,0.24186912261570762,0.17552765014873958
Gate sigmoid low=0 mid=0 high=0.9 temp=0.5,0.3015849780851894,0.16452817654357754,0.47828405748113917,0.291278800909008,0.40311111111111114,0.25163894360567557,0.21358183375043874,0.16747967127543462
Gate sigmoid low=0 mid=0 high=0.9 temp=1,0.3384664207953947,0.17306611071708278,0.5196405883726488,0.2869097347866669,0.43333333333333335,0.2564521207821678,0.22956935165869474,0.1705832464564705
Gate sigmoid low=0 mid=0 high=0.9 temp=2,0.3595724909808585,0.17829834393052624,0.532048963750102,0.2887603843500886,0.4568888888888889,0.26662067545843415,0.23927031535095095,0.1754596272686349
Gate sigmoid low=0 mid=0 high=1 temp=0.5,0.28210927245084205,0.16153671876900957,0.45269998707402304,0.28980167319418765,0.3794666666666667,0.24463811831034377,0.20106906737596114,0.16334688544950976
Gate sigmoid low=0 mid=0 high=1 temp=1,0.3254147168886273,0.17096640461779586,0.5040800123075886,0.28762178515465137,0.41377777777777786,0.25016792066113064,0.21948310970307636,0.1651947147610951
Gate sigmoid low=0 mid=0 high=1 temp=2,0.35423998210020874,0.17765163815596563,0.5263980396566872,0.2886118043959861,0.44986666666666664,0.2651198126453645,0.23576467522315775,0.1742464913887191
Gate sigmoid low=0.1 mid=0 high=0.8 temp=0.5,0.3470886497461458,0.17319172092937116,0.5473402173022273,0.2906960320416229,0.4613333333333333,0.26574384160081926,0.24380214859958718,0.1747227270124677
Gate sigmoid low=0.1 mid=0 high=0.8 temp=1,0.3678655881321998,0.17779964094952744,0.566489741947839,0.28839910638498434,0.4736888888888889,0.26904456782996244,0.24929741167113037,0.17792993988605432
Gate sigmoid low=0.1 mid=0 high=0.8 temp=2,0.37821924898721665,0.18139610997159855,0.5683336293151028,0.29022920689583825,0.4826666666666667,0.2723994379403872,0.2530247650721096,0.17705522484427677
