drug_local_idx,model,AP,nDCG@10,P@15,R@15
70,CAFNet,0.7078547851275124,0.6325414799409712,0.6,0.8181818181818182
71,CAFNet,0.45814739662259085,0.6698623505528799,0.7333333333333333,0.1896551724137931
72,CAFNet,0.40401734090606106,0.7421246259355073,0.7333333333333333,0.18032786885245902
73,CAFNet,0.2413220217811106,0.28669193478900723,0.26666666666666666,0.23529411764705882
74,CAFNet,0.3811870871986033,0.6086182388744241,0.3333333333333333,0.3333333333333333
75,CAFNet,0.5733043529527974,0.8263333286520084,0.6666666666666666,0.5882352941176471
76,CAFNet,0.12771033943224575,0.06625422345438904,0.13333333333333333,0.16666666666666666
77,CAFNet,0.10587744936683774,0.08514311764162101,0.13333333333333333,0.0625
78,CAFNet,0.5489232808095351,0.9305687780632229,0.9333333333333333,0.11023622047244094
79,CAFNet,0.3211598814710355,0.6311443278613472,0.4666666666666667,0.35
80,CAFNet,0.5392947997445341,0.9305687780632229,0.9333333333333333,0.07
81,CAFNet,0.40692307692307694,0.5050778624218062,0.3333333333333333,1.0
82,CAFNet,0.2786342893964779,0.2816575879096919,0.26666666666666666,0.13333333333333333
83,CAFNet,0.2066980236706911,0.20511666732794362,0.26666666666666666,0.3076923076923077
84,CAFNet,0.2690603752797526,0.633219679627003,0.4,0.2727272727272727
85,CAFNet,0.15370058050795793,0.2528410271851775,0.26666666666666666,0.07692307692307693
86,CAFNet,0.5144062321886351,0.542364015420035,0.6,0.34615384615384615
87,CAFNet,0.40525016003265096,0.6020521034564039,0.6,0.16666666666666666
88,CAFNet,0.09269316785437152,0.06362078819895173,0.13333333333333333,0.125
89,CAFNet,0.4338136560598966,0.46582309483828666,0.4,0.5
90,CAFNet,0.6884203670850788,0.9148568823583791,0.9333333333333333,0.35
91,CAFNet,0.5071896061829617,0.9337457765456111,0.8,0.2553191489361702
92,CAFNet,0.3774139261482841,0.9148568823583791,0.9333333333333333,0.19718309859154928
93,CAFNet,0.47725678435921215,0.6235540477207573,0.6666666666666666,0.2
94,CAFNet,0.48173928092803353,0.6311443278613472,0.7333333333333333,0.5
95,CAFNet,0.053338347914217876,0.0,0.0,0.0
96,CAFNet,0.5063461318316155,0.8572048559638626,0.8,0.18461538461538463
97,CAFNet,0.3944700281117602,0.6136525857537394,0.6,0.054878048780487805
98,CAFNet,0.4450340911347968,0.7215194105726963,0.8,0.0851063829787234
99,CAFNet,0.35588386940206745,0.3405196929097572,0.4666666666666667,0.2413793103448276
100,CAFNet,0.45791219019407486,0.8006937664098821,0.8,0.19672131147540983
101,CAFNet,0.5412792874282318,0.9052116356304495,0.8666666666666667,0.30952380952380953
102,CAFNet,0.2645124059277679,0.16104258782393985,0.4666666666666667,0.21875
103,CAFNet,0.36104186389579457,0.39794789654359625,0.4666666666666667,0.14
