drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
146,matched-BPR pop0.10 no-res,0.6000000000000001,0.6147043742310326,0.6,0.3045210492398058
146,matched-BPR pop0.05 residual,0.6030612244897959,0.6190770564716159,0.6285714285714286,0.3305502043238708
146,Global popularity,0.5826530612244898,0.5975500111688842,0.5428571428571428,0.03885714285714286
147,CAFNet,0.6558579881656805,0.7226262588881694,0.6923076923076923,0.4969432795506257
147,CAFNet-D full,0.7085443786982248,0.7526696357819757,0.7938461538461539,0.6993074359114353
147,debias pop0.02 no-res,0.6329940828402367,0.6901944360591912,0.7323076923076923,0.4008377767096345
147,debias pop0.05 no-res,0.6103668639053255,0.6754357314471587,0.6861538461538461,0.3230753657508355
147,debias pop0.02 residual,0.5959763313609467,0.6649091822326649,0.6707692307692308,0.2889285258547618
147,debias weighted rb1.5,0.5597633136094674,0.6400644577387137,0.6030769230769231,0.12449532005935908
147,debias weighted rb2.0,0.6008994082840237,0.6592676098531532,0.6738461538461539,0.22248677444859194
147,matched-BPR pop0.05 no-res,0.6134437869822486,0.6804820706683052,0.6676923076923077,0.3500361504405737
147,matched-BPR pop0.10 no-res,0.6195029585798817,0.6667894658297586,0.7169230769230769,0.4801705199938554
147,matched-BPR pop0.05 residual,0.6111242603550296,0.6794424461455185,0.683076923076923,0.32218730905308174
147,Global popularity,0.6091360946745561,0.6739841716070685,0.6615384615384615,0.07997264957264957
148,CAFNet,0.5987843285462333,0.5747071389105515,0.6142857142857143,0.31341620258513897
148,CAFNet-D full,0.5345679012345679,0.5327601439683243,0.5404761904761904,0.23177924059749033
148,debias pop0.02 no-res,0.4325113378684807,0.4937190485551135,0.40555555555555556,-0.2824376798578582
148,debias pop0.05 no-res,0.47047115142353235,0.5183194481856424,0.45476190476190476,-0.11776472903965485
148,debias pop0.02 residual,0.44060216679264297,0.5010052593623007,0.3968253968253968,-0.2691084824678015
148,debias weighted rb1.5,0.45739795918367343,0.5117214375569754,0.44285714285714284,-0.11706720241567209
148,debias weighted rb2.0,0.44094860166288735,0.5014430608440138,0.4166666666666667,-0.14793046122002934
148,matched-BPR pop0.05 no-res,0.4822436381960191,0.5224709936272265,0.4928571428571429,-0.09003080637489874
148,matched-BPR pop0.10 no-res,0.47138447971781305,0.5186326870880285,0.4587301587301587,-0.11734965028803027
148,matched-BPR pop0.05 residual,0.5058358528596625,0.5343444717269641,0.5158730158730159,-0.028886625814502912
148,Global popularity,0.5198444192491811,0.5349919317816754,0.5563492063492064,0.013619047619047623
149,CAFNet,0.9668639053254439,0.9761637151159601,0.9846153846153847,1.9026366020624454
149,CAFNet-D full,0.9254437869822486,0.9438372085430906,0.9846153846153847,1.3145452610575237
149,debias pop0.02 no-res,0.9514792899408284,0.9519619359973883,0.9692307692307692,0.9298129898137771
149,debias pop0.05 no-res,0.9775147928994083,0.9786501329020507,0.9846153846153847,1.158241011087711
149,debias pop0.02 residual,0.9727810650887574,0.9710463511236338,0.9846153846153847,0.9633304008497642
149,debias weighted rb1.5,0.9550295857988165,0.9472184921312066,0.9692307692307692,0.8779939325383076
