drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
57,debias pop0.02 no-res,middle,0.4787100380787278,0.48864468918810133,0.4666666666666667,0.07865168539325842
57,debias pop0.02 no-res,frequent,0.8886740482495294,1.0,1.0,0.10869565217391304
58,debias pop0.02 no-res,rare,,,,
58,debias pop0.02 no-res,middle,,,,
58,debias pop0.02 no-res,frequent,0.4736057348909011,0.5390031312763821,0.2,0.375
59,debias pop0.02 no-res,rare,0.0047975531926639945,0.0,0.0,0.0
59,debias pop0.02 no-res,middle,0.005263157894736842,0.0,0.0,0.0
59,debias pop0.02 no-res,frequent,0.5643630392755792,0.823699893396571,0.6666666666666666,0.5263157894736842
60,debias pop0.02 no-res,rare,0.0037593984962406013,0.0,0.0,0.0
60,debias pop0.02 no-res,middle,0.018273158767897955,0.0,0.0,0.0
60,debias pop0.02 no-res,frequent,0.18214481438805588,0.3301376494471203,0.2,0.21428571428571427
61,debias pop0.02 no-res,rare,0.012195121951219513,0.0,0.0,0.0
61,debias pop0.02 no-res,middle,0.010451680672268909,0.0,0.0,0.0
61,debias pop0.02 no-res,frequent,0.5295831197152481,0.6461194268314838,0.5333333333333333,0.24242424242424243
62,debias pop0.02 no-res,rare,,,,
62,debias pop0.02 no-res,middle,0.016420198668898454,0.0,0.0,0.0
62,debias pop0.02 no-res,frequent,0.6607751171703722,0.9305687780632229,0.8666666666666667,0.4482758620689655
63,debias pop0.02 no-res,rare,,,,
63,debias pop0.02 no-res,middle,0.012764227642276423,0.0,0.0,0.0
63,debias pop0.02 no-res,frequent,0.6142523745630136,0.727329844310522,0.6,0.5
64,debias pop0.02 no-res,rare,,,,
64,debias pop0.02 no-res,middle,0.016607083906001564,0.0,0.0,0.0
64,debias pop0.02 no-res,frequent,0.4561089080102304,0.6311443278613472,0.6,0.3333333333333333
65,debias pop0.02 no-res,rare,,,,
65,debias pop0.02 no-res,middle,0.007142857142857143,0.0,0.0,0.0
65,debias pop0.02 no-res,frequent,0.48864885312954537,0.8415908474314977,0.5333333333333333,0.26666666666666666
66,debias pop0.02 no-res,rare,,,,
66,debias pop0.02 no-res,middle,,,,
66,debias pop0.02 no-res,frequent,0.35508187595237356,0.4968460141484392,0.2,0.375
67,debias pop0.02 no-res,rare,0.004347826086956522,0.0,0.0,0.0
67,debias pop0.02 no-res,middle,0.009367833499199516,0.0,0.0,0.0
67,debias pop0.02 no-res,frequent,0.723457792207792,0.7715359168226731,0.4,0.8571428571428571
68,debias pop0.02 no-res,rare,0.0703751120267092,0.14629191738978586,0.13333333333333333,0.2222222222222222
68,debias pop0.02 no-res,middle,0.10402290576441683,0.20483424751859092,0.13333333333333333,0.1111111111111111
68,debias pop0.02 no-res,frequent,0.6232560898500049,0.8701249883466594,0.8666666666666667,0.17333333333333334
69,debias pop0.02 no-res,rare,0.059334290200439385,0.0,0.0,0.0
69,debias pop0.02 no-res,middle,0.09789780733613321,0.1100458831490401,0.06666666666666667,0.058823529411764705
69,debias pop0.02 no-res,frequent,0.4649978115384605,0.7034066032439749,0.6,0.20454545454545456
70,debias pop0.02 no-res,rare,,,,
70,debias pop0.02 no-res,middle,,,,
70,debias pop0.02 no-res,frequent,0.871644152367044,0.9305687780632229,0.6666666666666666,0.9090909090909091
71,debias pop0.02 no-res,rare,0.03346786315536315,0.0,0.0,0.0
71,debias pop0.02 no-res,middle,0.18684870618967864,0.2200917662980802,0.06666666666666667,0.07142857142857142
71,debias pop0.02 no-res,frequent,0.5748705564993019,1.0,0.8666666666666667,0.325
72,debias pop0.02 no-res,rare,0.006848278151226857,0.0,0.0,0.0
